iter	Passed	Remaining
0	0	94
1	1	82
2	2	81
3	3	75
4	3	75
5	4	73
6	5	76
7	6	77
8	7	78
9	8	77
10	9	80
11	11	80
12	11	80
13	12	78
14	13	75
15	14	73
16	14	72
17	15	70
18	16	70
19	17	69
20	18	69
21	19	70
22	20	69
23	21	68
24	22	67
25	23	66
26	24	65
27	25	64
28	25	63
29	26	62
30	27	60
31	28	59
32	28	58
33	29	57
34	30	56
35	31	55
36	32	54
37	32	53
38	33	52
39	34	51
40	35	50
41	35	49
42	36	48
43	37	47
44	38	46
45	38	45
46	39	44
47	40	43
48	41	42
49	42	42
50	43	41
51	43	40
52	44	39
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	50	34
59	51	34
60	51	33
61	52	32
62	53	31
63	55	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	66	21
76	67	20
77	68	19
78	70	18
79	71	17
80	71	16
81	72	15
82	73	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	78	9
89	79	8
90	80	7
91	80	7
92	81	6
93	82	5
94	84	4
95	85	3
96	85	2
97	86	1
98	87	0
99	88	0
